Date,Close
10/1/2012,46.22
10/2/2012,46.02
10/3/2012,45.12
10/4/2012,46.05
10/5/2012,45.16
10/8/2012,45.05
10/9/2012,45.82
10/10/2012,45.39
10/11/2012,46.05
10/12/2012,45.49
10/15/2012,46.34
10/16/2012,46.97
10/17/2012,47.3
10/18/2012,48.35
10/19/2012,48.52
10/22/2012,48.9
10/23/2012,47.67
10/24/2012,46.28
10/25/2012,47.04
10/26/2012,46.38
10/31/2012,45.69
11/1/2012,46.11
11/2/2012,46.06
11/5/2012,48.64
11/6/2012,49.35
11/7/2012,47.82
11/8/2012,46.24
11/9/2012,46.27
11/12/2012,46.34
11/13/2012,45.8
11/14/2012,44.38
11/15/2012,44.93
11/16/2012,44.38
11/19/2012,45.46
11/20/2012,45.15
11/21/2012,45.55
11/23/2012,46.29
11/26/2012,45.72
11/27/2012,45.52
11/28/2012,45.08
11/29/2012,46.01
11/30/2012,46.2
12/3/2012,46.08
12/4/2012,46.69
12/5/2012,46.64
12/6/2012,46.35
12/7/2012,46.13
12/10/2012,45.84
12/11/2012,45.9
12/12/2012,45.78
12/13/2012,44.81
12/14/2012,44.65
12/17/2012,45.22
12/18/2012,46.45
12/19/2012,46.41
12/20/2012,46.5
12/21/2012,45.64
12/24/2012,45.16
12/26/2012,44.66
12/27/2012,44.49
12/28/2012,44.2
12/31/2012,44.66
1/2/2013,46.24
1/3/2013,49.2
1/4/2013,51.82
1/7/2013,52.51
1/8/2013,52.36
1/9/2013,52.76
1/10/2013,53.99
1/11/2013,54.09
1/14/2013,53.93
1/15/2013,53.89
1/16/2013,54.69
1/17/2013,55.31
1/18/2013,55.78
1/22/2013,55.75
1/23/2013,55.93
1/24/2013,55.6
1/25/2013,56.76
1/28/2013,58.17
1/29/2013,57.72
1/30/2013,57.4
1/31/2013,56.71
2/1/2013,57.98
2/4/2013,56.98
2/5/2013,56.78
2/6/2013,56.53
2/7/2013,56.23
2/8/2013,56.38
2/11/2013,55.75
2/12/2013,56.14
2/13/2013,57.06
2/14/2013,59.3
2/15/2013,56.26
2/19/2013,56.26
2/20/2013,54.32
2/21/2013,53.16
2/22/2013,53.28
2/25/2013,51.24
2/26/2013,51.25
2/27/2013,52.64
2/28/2013,52.3
3/1/2013,52.15
3/4/2013,52.19
3/5/2013,53.03
3/6/2013,53.45
3/7/2013,53.13
3/8/2013,53.22
3/11/2013,53
3/12/2013,53.28
3/13/2013,52.82
3/14/2013,53.76
3/15/2013,53.56
3/18/2013,53.27
3/19/2013,52.22
3/20/2013,52.97
3/21/2013,51.8
3/22/2013,51.66
3/25/2013,50.95
3/26/2013,50.9
3/27/2013,51.94
3/28/2013,51.96
4/1/2013,51.04
4/2/2013,50.51
4/3/2013,49.92
4/4/2013,49.88
4/5/2013,50.34
4/8/2013,50.96
4/9/2013,51.07
4/10/2013,51.39
4/11/2013,51.87
4/12/2013,50.51
4/15/2013,48.83
4/16/2013,49.16
4/17/2013,48
4/18/2013,48.38
4/19/2013,48.53
4/22/2013,48.85
4/23/2013,49.36
4/24/2013,50.81
4/25/2013,50.84
4/26/2013,51.16
4/29/2013,51.28
4/30/2013,51.47
5/1/2013,51.75
5/2/2013,52.33
5/3/2013,53.24
5/6/2013,54.32
5/7/2013,54.75
5/8/2013,55.26
5/9/2013,54.91
5/10/2013,54.64
5/13/2013,54.5
5/14/2013,55.07
5/15/2013,55.11
5/16/2013,54.73
5/17/2013,54.03
5/20/2013,53.6
5/21/2013,53.4
5/22/2013,52.31
5/23/2013,51.96
5/24/2013,52.06
5/28/2013,52.31
5/29/2013,52.05
5/30/2013,51.72
5/31/2013,50.23
6/3/2013,50.84
6/4/2013,51.12
6/5/2013,50.28
6/6/2013,50.44
6/7/2013,50.68
6/10/2013,50.44
6/11/2013,49.51
6/12/2013,48.32
6/13/2013,48.74
6/14/2013,49.29
6/17/2013,49.65
6/18/2013,49.75
6/19/2013,49.5
6/20/2013,48.4
6/21/2013,47.97
6/24/2013,46.86
6/25/2013,47.53
6/26/2013,48.02
6/27/2013,48.44
6/28/2013,47.95
7/1/2013,48.24
7/2/2013,47.45
7/3/2013,47.39
7/5/2013,47.79
7/8/2013,48.39
7/9/2013,49.09
7/10/2013,48.92
7/11/2013,49.39
7/12/2013,49.99
7/15/2013,49.8
7/16/2013,49.22
7/17/2013,49.04
7/18/2013,49.31
7/19/2013,49.74
7/22/2013,49.6
7/23/2013,50.06
7/24/2013,49.2
7/25/2013,48.49
7/26/2013,47.69
7/29/2013,47.03
7/30/2013,47.1
7/31/2013,47.16
8/1/2013,48
8/2/2013,48.35
8/5/2013,48.47
8/6/2013,48.42
8/7/2013,48.48
8/8/2013,48.58
8/9/2013,47.51
8/12/2013,47.62
8/13/2013,47.52
8/14/2013,46.98
8/15/2013,47.35
8/16/2013,47
8/19/2013,46.53
8/20/2013,46.74
8/21/2013,45.91
8/22/2013,46.18
8/23/2013,46.87
8/26/2013,46.56
8/27/2013,45.78
8/28/2013,45.68
8/29/2013,45.52
8/30/2013,45.13
9/3/2013,45.32
9/4/2013,45.39
9/5/2013,46.45
9/6/2013,46.47
9/9/2013,47.03
9/10/2013,47.3
9/11/2013,47.58
9/12/2013,47.39
9/13/2013,46.79
9/16/2013,46.68
9/17/2013,46.77
9/18/2013,47.24
9/19/2013,45.87
9/20/2013,45.06
9/23/2013,45.07
9/24/2013,45.01
9/25/2013,45.08
9/26/2013,45.05
9/27/2013,44.92
9/30/2013,44.5
10/1/2013,44.98
10/2/2013,45.03
10/3/2013,45.18
10/4/2013,45.45
10/7/2013,45.01
10/8/2013,44.4
10/9/2013,44.38
10/10/2013,44.83
10/11/2013,45.19
10/14/2013,45.42
